ID_Venda;ID_Cliente;ID_Cidade;ID_Produto;Data;Preco_Unitario;Quantidade;Receita_Total
1;579;7;15;04/12/2023;313;9;2817
2;980;2;16;27/05/2024;95;4;380
3;940;3;3;02/02/2025;355;2;710
4;945;1;2;11/08/2024;120;2;240
5;717;9;3;28/07/2023;345;3;1035
6;58;6;17;18/11/2022;368;1;368
7;322;1;13;23/03/2022;493;17;8381
8;165;4;19;03/08/2023;136;17;2312
9;842;6;14;14/09/2022;322;7;2254
10;647;5;17;07/02/2024;352;5;1760
11;584;3;12;20/06/2022;230;5;1150
12;680;2;14;30/12/2025;371;19;7049
13;248;8;15;15/12/2025;177;3;531
14;327;3;12;26/01/2023;414;3;1242
15;60;8;6;17/08/2025;40;1;40
16;854;3;18;22/04/2025;381;20;7620
17;257;1;9;25/02/2022;463;3;1389
18;770;1;18;20/05/2025;392;8;3136
19;382;2;15;02/04/2022;50;10;500
20;269;4;8;07/03/2022;260;12;3120
21;50;6;3;27/09/2022;134;14;1876
22;273;7;19;03/12/2022;69;8;552
23;598;3;8;15/12/2023;155;7;1085
24;779;5;2;24/10/2023;460;18;8280
25;545;1;1;06/07/2024;160;10;1600
26;795;5;15;27/02/2025;214;12;2568
27;144;3;12;26/08/2022;19;7;133
28;193;1;19;21/05/2023;462;20;9240
29;232;1;6;28/05/2022;406;6;2436
30;897;5;9;24/06/2023;214;18;3852
31;196;3;14;25/09/2022;139;15;2085
32;995;9;19;24/06/2023;424;13;5512
33;807;9;6;09/09/2023;28;20;560
34;792;1;7;22/02/2024;255;20;5100
35;596;6;1;17/04/2024;50;6;300
36;966;3;1;14/01/2025;476;2;952
37;915;5;18;11/09/2023;274;1;274
38;463;7;17;23/04/2024;72;20;1440
39;323;3;12;20/11/2025;489;7;3423
40;380;6;9;12/03/2025;414;8;3312
41;664;1;15;15/06/2023;380;13;4940
42;373;8;7;19/11/2023;74;19;1406
43;67;3;15;15/01/2024;23;6;138
44;931;7;13;09/01/2023;398;12;4776
45;137;6;19;16/10/2022;236;1;236
46;577;2;10;29/08/2025;163;9;1467
47;733;8;5;27/02/2022;237;8;1896
48;930;2;18;21/07/2025;35;11;385
49;655;8;17;21/12/2024;170;8;1360
50;478;2;13;10/01/2022;36;13;468
51;493;3;3;21/09/2022;449;10;4490
52;649;4;6;11/01/2024;64;10;640
53;624;8;8;31/07/2024;116;1;116
54;407;9;9;04/11/2022;49;15;735
55;140;8;6;13/02/2022;193;5;965
56;501;1;19;27/03/2024;32;11;352
57;938;4;6;25/05/2024;395;7;2765
58;912;3;13;19/02/2023;17;13;221
59;513;2;7;03/11/2023;146;12;1752
60;305;2;3;24/01/2023;50;12;600
61;764;8;20;01/07/2025;228;6;1368
62;218;9;9;24/01/2022;437;18;7866
63;104;8;13;18/09/2022;386;13;5018
64;568;8;8;14/05/2022;477;2;954
65;641;3;5;28/06/2023;481;10;4810
66;98;2;17;21/10/2023;68;9;612
67;931;8;16;29/09/2022;429;2;858
68;155;5;11;05/02/2024;477;16;7632
69;2;6;2;11/06/2024;309;11;3399
70;549;3;17;27/03/2023;118;20;2360
71;825;5;2;26/04/2022;258;16;4128
72;205;7;18;03/04/2023;191;14;2674
73;386;8;13;27/01/2025;249;13;3237
74;6;7;10;04/07/2025;355;18;6390
75;258;2;20;22/12/2024;441;20;8820
76;938;1;18;06/04/2023;161;18;2898
77;237;9;14;31/05/2022;482;20;9640
78;20;8;20;09/06/2024;128;7;896
79;851;5;11;02/10/2023;328;17;5576
80;248;7;8;16/02/2023;211;12;2532
81;392;1;6;20/07/2022;459;15;6885
82;695;4;16;06/04/2022;347;10;3470
83;191;3;6;24/05/2023;211;13;2743
84;708;7;1;18/01/2022;463;6;2778
85;781;4;18;08/01/2023;397;18;7146
86;960;9;16;17/06/2022;219;15;3285
87;802;2;2;28/02/2025;65;16;1040
88;121;3;6;16/04/2024;247;4;988
89;83;1;3;16/01/2024;273;18;4914
90;244;9;16;30/07/2024;209;11;2299
91;872;3;19;27/06/2025;150;8;1200
92;370;5;6;28/06/2022;19;17;323
93;491;1;20;21/09/2025;375;9;3375
94;47;2;20;31/01/2022;10;19;190
95;246;9;7;30/03/2023;125;9;1125
96;418;6;2;04/09/2022;141;1;141
97;994;1;1;06/07/2025;436;4;1744
98;427;7;12;30/12/2025;142;17;2414
99;580;7;7;13/03/2022;314;17;5338
100;930;7;12;24/06/2022;239;15;3585
101;134;8;9;10/06/2022;473;4;1892
102;663;8;20;02/11/2022;468;9;4212
103;571;7;11;07/08/2024;301;8;2408
104;463;8;14;27/12/2022;436;18;7848
105;773;8;8;28/09/2023;219;19;4161
106;646;5;13;15/12/2024;161;4;644
107;178;9;4;05/01/2024;383;11;4213
108;746;3;16;25/04/2024;424;20;8480
109;244;8;20;10/08/2023;392;4;1568
110;618;1;9;04/11/2025;196;2;392
111;918;4;2;25/11/2022;402;7;2814
112;646;5;11;29/08/2022;435;16;6960
113;669;8;2;22/07/2023;407;8;3256
114;61;6;19;17/04/2023;285;4;1140
115;233;1;20;28/05/2025;62;10;620
116;451;3;2;11/01/2025;489;11;5379
117;32;9;19;04/12/2025;37;18;666
118;257;1;9;15/12/2025;62;9;558
119;318;6;11;19/05/2023;174;18;3132
120;666;8;17;21/05/2023;238;19;4522
121;733;5;2;09/04/2024;434;12;5208
122;226;4;2;04/07/2024;352;16;5632
123;233;5;5;29/11/2025;334;10;3340
124;897;9;15;18/06/2023;187;10;1870
125;761;7;8;16/12/2023;71;18;1278
126;932;9;4;31/10/2022;405;5;2025
127;25;2;5;26/09/2025;435;3;1305
128;336;1;10;19/02/2025;202;3;606
129;344;9;16;05/07/2024;307;14;4298
130;656;1;3;03/04/2024;227;12;2724
131;736;8;9;17/10/2023;131;20;2620
132;408;6;17;05/05/2022;371;16;5936
133;493;3;15;11/02/2023;461;1;461
134;24;3;11;12/09/2025;202;8;1616
135;20;4;9;11/09/2024;458;2;916
136;182;5;3;21/07/2023;39;2;78
137;504;7;5;24/07/2025;44;10;440
138;284;8;12;12/11/2025;303;2;606
139;33;6;18;20/10/2025;454;9;4086
140;664;3;19;30/11/2025;305;9;2745
141;619;8;16;09/11/2023;202;14;2828
142;718;1;20;10/07/2024;497;17;8449
143;245;5;8;16/03/2024;369;17;6273
144;206;3;2;28/11/2023;162;1;162
145;350;8;10;30/03/2024;330;7;2310
146;780;1;3;17/07/2025;65;7;455
147;548;3;6;22/03/2023;149;14;2086
148;959;8;6;01/09/2024;148;12;1776
149;23;2;3;06/07/2024;360;20;7200
150;84;8;19;18/05/2025;198;4;792
151;303;6;4;19/03/2024;452;6;2712
152;53;8;15;19/12/2024;137;4;548
153;822;6;13;23/01/2022;276;17;4692
154;892;4;19;19/05/2022;103;10;1030
155;491;7;10;24/05/2024;363;5;1815
156;677;3;19;04/01/2024;147;14;2058
157;827;1;15;12/10/2022;25;1;25
158;40;5;8;01/07/2024;490;11;5390
159;125;9;12;18/02/2024;284;1;284
160;202;5;18;05/07/2024;270;7;1890
161;981;9;16;26/07/2024;248;20;4960
162;980;9;10;25/10/2023;330;5;1650
163;754;4;9;20/03/2023;346;15;5190
164;742;2;12;28/05/2023;188;14;2632
165;9;3;13;16/04/2025;421;7;2947
166;528;7;4;16/02/2024;157;6;942
167;451;6;2;14/11/2022;312;4;1248
168;589;1;2;11/11/2023;55;4;220
169;524;6;8;05/03/2025;203;10;2030
170;916;8;17;19/07/2022;410;20;8200
171;9;7;10;02/04/2023;60;10;600
172;112;9;5;07/12/2022;226;6;1356
173;947;9;15;25/05/2022;174;2;348
174;603;1;3;02/03/2022;229;2;458
175;837;6;8;29/10/2023;346;1;346
176;85;2;10;03/12/2023;337;13;4381
177;796;4;4;23/01/2022;297;3;891
178;385;2;13;14/04/2023;234;5;1170
179;176;8;10;16/03/2024;401;20;8020
180;140;7;5;27/07/2022;268;4;1072
181;685;7;3;03/04/2024;227;11;2497
182;946;6;18;04/04/2022;38;17;646
183;648;6;10;31/05/2024;464;9;4176
184;940;5;1;24/10/2024;49;8;392
185;381;2;4;06/05/2022;127;9;1143
186;731;7;15;12/11/2022;372;18;6696
187;993;3;3;29/10/2024;29;3;87
188;100;2;4;03/11/2024;51;3;153
189;591;3;14;29/09/2022;120;9;1080
190;942;8;18;30/07/2022;220;16;3520
191;863;1;18;04/07/2024;123;17;2091
192;350;6;19;16/10/2023;323;7;2261
193;569;5;15;03/10/2022;114;18;2052
194;161;2;2;07/05/2023;396;9;3564
195;898;5;4;24/01/2023;152;18;2736
196;532;4;1;23/03/2024;108;6;648
197;718;7;12;04/10/2024;487;17;8279
198;957;8;20;10/10/2023;78;19;1482
199;319;3;18;29/09/2025;169;1;169
200;794;3;3;11/08/2024;468;13;6084
201;920;2;4;20/11/2024;316;2;632
202;728;7;13;18/01/2023;413;19;7847
203;164;2;20;11/10/2025;205;8;1640
204;889;6;9;03/05/2023;288;4;1152
205;379;2;5;30/01/2024;28;13;364
206;906;3;19;03/12/2022;93;13;1209
207;580;3;3;09/07/2022;55;3;165
208;402;5;19;22/01/2022;215;6;1290
209;164;2;15;15/09/2024;491;19;9329
210;930;9;10;15/08/2022;367;20;7340
211;189;1;15;02/08/2025;445;8;3560
212;423;7;6;10/10/2024;78;14;1092
213;751;9;19;02/04/2022;78;17;1326
214;256;3;3;26/10/2022;383;8;3064
215;667;2;7;19/07/2022;125;16;2000
216;8;2;17;04/10/2023;431;3;1293
217;461;3;6;28/04/2024;442;15;6630
218;754;5;12;12/02/2025;134;15;2010
219;518;6;9;22/11/2025;44;2;88
220;602;5;12;07/08/2024;15;3;45
221;866;4;14;30/08/2023;105;9;945
222;91;7;1;30/12/2022;96;7;672
223;874;3;13;07/03/2024;318;13;4134
224;972;3;16;07/03/2023;149;5;745
225;581;9;17;09/10/2024;214;13;2782
226;52;1;14;19/04/2023;144;14;2016
227;626;3;9;03/12/2024;220;4;880
228;898;9;5;10/07/2024;356;17;6052
229;621;1;19;20/04/2024;297;18;5346
230;94;7;3;31/05/2023;333;6;1998
231;24;6;10;29/10/2023;90;5;450
232;328;7;12;20/12/2024;211;3;633
233;502;1;19;26/11/2023;84;11;924
234;63;7;13;17/06/2025;451;2;902
235;881;1;15;11/11/2024;180;10;1800
236;58;4;16;18/07/2023;115;4;460
237;687;3;8;25/11/2025;337;19;6403
238;867;8;4;14/02/2025;160;16;2560
239;701;6;11;29/07/2022;347;19;6593
240;263;5;5;02/09/2024;309;8;2472
241;627;2;19;14/02/2023;220;11;2420
242;379;2;1;15/09/2025;209;9;1881
243;263;9;3;24/05/2025;393;5;1965
244;527;5;6;04/08/2023;191;8;1528
245;427;8;10;01/02/2024;49;18;882
246;916;6;17;22/03/2025;30;5;150
247;290;8;7;05/05/2022;195;20;3900
248;200;5;16;23/11/2023;476;16;7616
249;828;7;16;03/07/2025;408;14;5712
250;225;1;17;16/12/2025;421;8;3368
251;419;2;6;31/07/2025;81;15;1215
252;406;2;5;03/12/2022;17;13;221
253;259;5;12;13/11/2022;225;10;2250
254;157;8;3;16/05/2023;314;15;4710
255;737;3;9;03/07/2024;174;19;3306
256;589;6;20;14/05/2022;403;15;6045
257;741;4;11;20/05/2024;435;15;6525
258;319;9;6;10/06/2024;385;7;2695
259;861;8;7;09/08/2022;299;14;4186
260;42;9;14;01/11/2023;472;12;5664
261;544;8;16;21/07/2024;321;5;1605
262;430;4;1;13/02/2022;76;12;912
263;79;1;20;01/10/2022;383;4;1532
264;966;2;4;08/07/2023;85;9;765
265;784;8;10;21/12/2022;151;3;453
266;500;4;11;24/08/2024;174;15;2610
267;732;8;2;16/02/2023;60;13;780
268;200;2;7;08/02/2023;198;20;3960
269;184;1;7;11/10/2024;422;18;7596
270;390;4;1;12/11/2022;140;17;2380
271;163;6;18;03/11/2025;128;18;2304
272;23;4;5;15/05/2024;219;17;3723
273;452;5;5;17/07/2022;35;17;595
274;487;4;15;20/09/2022;147;8;1176
275;252;3;7;18/10/2022;313;14;4382
276;263;1;14;24/12/2022;297;8;2376
277;740;7;4;28/11/2025;353;12;4236
278;828;8;20;21/07/2023;187;11;2057
279;241;4;1;17/06/2022;54;19;1026
280;125;7;1;13/07/2025;211;2;422
281;256;8;7;06/09/2024;428;12;5136
282;847;5;2;10/08/2025;188;4;752
283;817;8;8;09/05/2024;110;20;2200
284;279;8;7;05/10/2025;306;17;5202
285;295;4;11;16/09/2022;338;13;4394
286;483;3;10;01/02/2022;288;3;864
287;884;8;18;31/10/2023;175;8;1400
288;391;5;14;25/06/2023;461;7;3227
289;767;2;12;30/01/2025;434;9;3906
290;656;7;9;02/09/2023;76;19;1444
291;39;1;3;16/02/2024;416;10;4160
292;888;2;4;29/10/2023;298;19;5662
293;95;1;5;02/09/2022;39;20;780
294;607;4;10;13/09/2022;274;5;1370
295;160;5;1;22/11/2025;242;18;4356
296;614;7;8;07/07/2025;386;12;4632
297;851;5;20;15/07/2022;148;15;2220
298;819;8;3;29/12/2023;440;13;5720
299;993;1;2;12/03/2023;241;20;4820
300;684;6;16;19/11/2025;455;19;8645
301;589;1;7;29/04/2023;431;17;7327
302;391;8;1;19/09/2024;115;12;1380
